S.No.,District,Total GP Count,GPs with Sarpanch
1,ADILABAD,468,468
2,BHADRADRI KOTHAGUDEM,481,481
3,HANUMAKONDA,208,208
4,Jagitial,380,380
5,JANGOAN,281,280
6,JAYASHANKAR BHUPALAPALLY,241,241
7,JOGULAMBA GADWAL,255,255
8,KAMAREDDY,526,526
9,KARIMNAGAR,313,313
10,KHAMMAM,589,586
11,KUMURAM BHEEM ASIFABAD,335,335
12,MAHABUBABAD,461,460
13,MAHABUBNAGAR,441,439
14,Mancherial,310,307
15,MEDAK,469,469
16,MEDCHAL MALKAJGIRI,61,61
17,Mulugu,174,148
18,NAGARKURNOOL,461,455
19,NALGONDA,844,844
20,Narayanpet,280,280
21,Nirmal,396,396
22,NIZAMABAD,530,529
23,Peddapalli,266,266
24,RAJANNA SIRCILLA,255,255
25,RANGAREDDI,558,558
26,SANGAREDDY,647,647
27,SIDDIPET,499,499
28,SURYAPET,475,475
29,VIKARABAD,566,566
30,WANAPARTHY,255,255
31,WARANGAL,323,323
32,YADADRI BHUVANAGIRI,421,421
Total Count,,12769,12726
